model_id,condition,winsorize_pct,scenario,axis,point,ci_lo,ci_hi,n_prompts,n_iters_with_data_race,n_boot_finite
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Caring Household Members,accent,0.0801083656178538,-0.0536769445302485,0.1956845745752964,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Caring Household Members,gender,0.0394547218509662,-0.0952707540215564,0.1757484297954859,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Caring Household Members,race,0.119800420123261,-0.0128018057650708,0.2458356363348271,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Civic and Religious Activities,accent,0.0270161735606215,-0.0896945486671473,0.143659258333941,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Civic and Religious Activities,gender,0.0004881392906038,-0.1168406635934093,0.1120147975622029,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Civic and Religious Activities,race,-0.0008200227075164,-0.1120208823562839,0.0971049102068755,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Educational Activities,accent,-0.0156926569560206,-0.2055148543723624,0.1772494571658196,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Educational Activities,gender,-0.2410448783186349,-0.4172019929650108,-0.0578788665569783,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Educational Activities,race,-0.007981825458545,-0.1847175294683161,0.1604649106851188,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Finance,accent,0.0047699856953167,-0.1347341932784051,0.1347102344040886,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Finance,gender,-0.0065014057686814,-0.1257250469394095,0.1227273143547623,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Finance,race,-0.0376811861577012,-0.164148378176858,0.0828424630885743,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Health,accent,-0.1271347711536763,-0.3179598826096714,0.0556990225747818,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Health,gender,-0.0841082300862661,-0.2505638630505832,0.0783624166816231,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Health,race,0.0127178074784302,-0.1498912386253172,0.1761436612896613,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Household Activities,accent,0.0680587452701883,-0.0659930706334043,0.2071803779636219,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Household Activities,gender,0.0058733191119694,-0.1254434749671428,0.1363809908942765,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Household Activities,race,0.2036703215543186,0.0760355108957691,0.3421884671173583,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Leisure and Sports,accent,0.0422745791554669,-0.0683288784701467,0.1442332238375519,6,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Leisure and Sports,gender,0.0231833115526149,-0.081200014653469,0.1229524812400088,6,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Leisure and Sports,race,0.0684830906315198,-0.0306419943386886,0.1585547000120161,6,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Personal Care,accent,-0.043640469428448,-0.1567501831318744,0.0483458981467431,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Personal Care,gender,-0.0039323773927857,-0.1208270203984214,0.0990178621633222,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Personal Care,race,0.0367107393192542,-0.079593274898196,0.1336973974369336,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Politics,accent,-0.130804480967872,-0.2609044921558396,0.0038492660093965,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Politics,gender,0.0651868759420449,-0.0650030838747352,0.194750208169173,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Politics,race,-0.1346320861498025,-0.2656167391290326,-0.0083574689988009,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Purchasing Goods and Services,accent,0.024190544522776,-0.1093345153260026,0.1388614451755467,6,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Purchasing Goods and Services,gender,-0.0714375210241723,-0.1993072567337158,0.0504520657681107,6,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Purchasing Goods and Services,race,0.1265378745519396,0.0073769319395088,0.2406120215415072,6,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Work-related Activities,accent,0.1684235564558371,0.0107361512066436,0.3251175058410998,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Work-related Activities,gender,-0.1057175697652382,-0.2585743826450689,0.0414736049480255,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Work-related Activities,race,0.0662284761450665,-0.0826131175230292,0.2188415851403499,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Caring Household Members,accent,0.0257773710010607,-0.0477292321355689,0.1570152156072001,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Caring Household Members,gender,0.0588909249202267,-0.1042965234802429,0.226061128252861,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Caring Household Members,race,0.069061977561183,-0.0210738918065754,0.2051145104178689,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Civic and Religious Activities,accent,0.0893980437739921,-0.0407228381807795,0.1695764539008078,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Civic and Religious Activities,gender,0.0489729272811074,-0.1063405681396184,0.1505942529549364,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Civic and Religious Activities,race,0.0926417710322011,-0.0723985685851575,0.1771675767597849,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Educational Activities,accent,-0.0297664059148686,-0.2142298915139792,0.1601745239287547,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Educational Activities,gender,-0.2497008667196188,-0.4204304732871079,-0.0669046690873747,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Educational Activities,race,0.0138864731215406,-0.1671065561342181,0.1795713383679384,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Finance,accent,0.0784444125687765,-0.0964365810140696,0.160926608326367,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Finance,gender,-0.0563574405184751,-0.1447969304555518,0.0970679466204121,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Finance,race,0.086696536614807,-0.1173981764695593,0.17862978463352,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Health,accent,0.0919313865823925,-0.2220087783666215,0.1593960337961853,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Health,gender,0.1248785211868633,-0.1991453370486788,0.2110064733083095,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Health,race,0.1389311080626047,-0.1646740502257287,0.2568247017891876,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Household Activities,accent,0.109485935061216,-0.0258081637941497,0.2219299580185228,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Household Activities,gender,0.0404559203796272,-0.1221108044068975,0.1680210014955327,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Household Activities,race,0.140607342449049,0.0452149930517774,0.3201956322786738,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Leisure and Sports,accent,0.0274737860795293,-0.0887364947205358,0.1370694780233378,6,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Leisure and Sports,gender,0.0009781067103422,-0.1020587714400663,0.1017574928909268,6,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Leisure and Sports,race,0.0634888330981987,-0.047704924200768,0.1502759345680729,6,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Personal Care,accent,-0.0598074069625463,-0.1798868087517783,0.0456862359367084,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Personal Care,gender,0.0175086934773637,-0.1141963543281288,0.1213267368089802,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Personal Care,race,0.0420655362057136,-0.0732021820772992,0.1295467609418197,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Politics,accent,-0.0441107278767564,-0.237008648866166,0.0708264769723894,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Politics,gender,0.0163088571008896,-0.1031811073976667,0.1721509479562556,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Politics,race,-0.048566657909608,-0.253402880738538,0.0638461849302984,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Purchasing Goods and Services,accent,-0.0228271032917477,-0.1290470005905123,0.1041084747297663,6,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Purchasing Goods and Services,gender,-0.0548326053653789,-0.1767409528387964,0.0476549396956131,6,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Purchasing Goods and Services,race,0.1097610030316437,0.0174007523424242,0.2235741173720976,6,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Work-related Activities,accent,0.1500547780271701,0.0587525457602063,0.2814763178381489,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Work-related Activities,gender,-0.1145034733906463,-0.2644939358040931,0.0330255770496609,4,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Work-related Activities,race,-0.0469410167387153,-0.1492763650484099,0.1701280832543133,4,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Caring Household Members,accent,0.0947202286048644,-0.1882948826755084,0.3436866939246457,1,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Caring Household Members,gender,0.0236836222582344,-0.2245742851700363,0.2837467869103023,1,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Caring Household Members,race,0.2742961277228932,0.049259089656343,0.4775987997125903,1,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Civic and Religious Activities,accent,-0.0057418855476537,-0.1193301791530725,0.1160574746948754,4,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Civic and Religious Activities,gender,-0.0599286040403109,-0.1966146263915043,0.0640897118765593,4,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Civic and Religious Activities,race,0.0132433752530715,-0.1099168957029681,0.1376090033105567,4,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Educational Activities,accent,,,,0,0,0
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Educational Activities,gender,,,,0,0,0
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Educational Activities,race,,,,0,0,0
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Finance,accent,0.0777257393485782,-0.0371191306021561,0.1844914598787752,4,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Finance,gender,-0.1466830486635513,-0.2667214619656548,-0.0190615491558289,4,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Finance,race,0.1270629471944537,-0.0116772774251329,0.243947225202663,4,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Health,accent,0.1595253349869018,0.0807522056001126,0.2439353386088845,1,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Health,gender,-0.0794342679995092,-0.3568897458921561,0.1714862641863741,1,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Health,race,0.2420705548774322,0.1509860081693904,0.4025331627670687,1,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Household Activities,accent,0.0493490316095065,-0.17214791941464,0.2818788562454474,1,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Household Activities,gender,0.1167826692157365,-0.1393781249538243,0.3339879383159138,1,3,2000
